wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-07-16 18:17:00,427-0600 INFO  [jetty-main-1]  org.sonatype.nexus.apachehttpclient.Hc4ProviderImpl - Started (connectionPoolMaxSize 200, connectionPoolSize 20, connectionPoolIdleTime 30000 ms, connectionPoolTimeout 30000 ms, keepAliveMaxDuration 30000 ms)
jvm 1    | 2018-07-16 18:17:01,019-0600 INFO  [jetty-main-1]  org.sonatype.nexus.orient.DatabaseServerImpl - OrientDB version: 2.1.14
jvm 1    | 2018-07-16 18:17:01,062-0600 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - OrientDB Server v2.1.14 is starting up...
jvm 1    | 2018-07-16 18:17:01,070-0600 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - Databases directory: /home/charlie/programs/sonatype-work/nexus/db
jvm 1    | 2018-07-16 18:17:01,082-0600 INFO  [jetty-main-1]  com.orientechnologies.orient.server.handler.OJMXPlugin - JMX plugin installed and active: profilerManaged=true
jvm 1    | 2018-07-16 18:17:01,084-0600 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - OrientDB Server v2.1.14 is active.
jvm 1    | 2018-07-16 18:17:01,085-0600 INFO  [jetty-main-1]  org.sonatype.nexus.orient.DatabaseServerImpl - Activated
jvm 1    | 2018-07-16 18:17:01,085-0600 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Loading Nexus Configuration...
jvm 1    | 2018-07-16 18:17:01,119-0600 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.StaticConfigurationSource - Configuration loaded successfully.
jvm 1    | 2018-07-16 18:17:01,120-0600 WARN  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2018-07-16 18:17:01,526-0600 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Configuration loaded successfully.
jvm 1    | 2018-07-16 18:17:01,592-0600 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Nexus configuration validated successfully.
jvm 1    | 2018-07-16 18:17:01,671-0600 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration...
jvm 1    | 2018-07-16 18:17:01,678-0600 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /home/charlie/programs/nexus-2.14.9-01/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2018-07-16 18:17:01,684-0600 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthenticatingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-07-16 18:17:01,685-0600 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthenticatingRealm.authorizationCache]
jvm 1    | 2018-07-16 18:17:01,686-0600 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-07-16 18:17:01,687-0600 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthorizingRealm.authorizationCache]
jvm 1    | 2018-07-16 18:17:01,722-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.attributes.DefaultLSAttributeStorage - Default FS AttributeStorage in place, using JacksonJSON marshaller. 
jvm 1    | 2018-07-16 18:17:02,427-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central" [id=central][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2018-07-16 18:17:02,461-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Apache Snapshots" [id=apache-snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2018-07-16 18:17:02,528-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Releases" [id=releases][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-07-16 18:17:02,575-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Snapshots" [id=snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-07-16 18:17:02,606-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "3rd party" [id=thirdparty][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2018-07-16 18:17:02,626-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central M1 shadow" [id=central-m1][contentClass=Maven1][mainFacet=org.sonatype.nexus.proxy.maven.MavenShadowRepository]
jvm 1    | 2018-07-16 18:17:02,660-0600 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Public Repositories" [id=public][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.repository.GroupRepository]
jvm 1    | 2018-07-16 18:17:02,660-0600 INFO  [jetty-main-1]  org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2018-07-16 18:17:02,660-0600 INFO  [jetty-main-1]  org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
